Fiscal Year,State,State_Abbr,FIPS,PAI,Source_Link,
2005,North Dakota,ND,38,0.478,https://www.fns.usda.gov/snap/qc/pai,
2005,Ohio,OH,39,0.54,https://www.fns.usda.gov/snap/qc/pai,
2005,Oklahoma,OK,40,0.591,https://www.fns.usda.gov/snap/qc/pai,
2005,Oregon,OR,41,0.642,https://www.fns.usda.gov/snap/qc/pai,
2005,Pennsylvania,PA,42,0.562,https://www.fns.usda.gov/snap/qc/pai,
2005,Rhode Island,RI,44,0.469,https://www.fns.usda.gov/snap/qc/pai,
2005,South Carolina,SC,45,0.614,https://www.fns.usda.gov/snap/qc/pai,
2005,South Dakota,SD,46,0.47,https://www.fns.usda.gov/snap/qc/pai,
2005,Tennessee,TN,47,0.712,https://www.fns.usda.gov/snap/qc/pai,
2005,Texas,TX,48,0.477,https://www.fns.usda.gov/snap/qc/pai,
2005,Utah,UT,49,0.384,https://www.fns.usda.gov/snap/qc/pai,
2005,Vermont,VT,50,0.522,https://www.fns.usda.gov/snap/qc/pai,
2005,Virginia,VA,51,0.525,https://www.fns.usda.gov/snap/qc/pai,
2005,Washington,WA,53,0.535,https://www.fns.usda.gov/snap/qc/pai,
2005,West Virginia,WV,54,0.632,https://www.fns.usda.gov/snap/qc/pai,
2005,Wisconsin,WI,55,0.471,https://www.fns.usda.gov/snap/qc/pai,
2005,Wyoming,WY,56,0.391,https://www.fns.usda.gov/snap/qc/pai,
2006,Alabama,AL,01,0.556,https://www.fns.usda.gov/snap/qc/pai,
2006,Alaska,AK,02,0.614,https://www.fns.usda.gov/snap/qc/pai,
2006,Arizona,AZ,04,0.477,https://www.fns.usda.gov/snap/qc/pai,
2006,Arkansas,AR,05,0.607,https://www.fns.usda.gov/snap/qc/pai,
2006,California,CA,06,0.327,https://www.fns.usda.gov/snap/qc/pai,
2006,Colorado,CO,08,0.346,https://www.fns.usda.gov/snap/qc/pai,
2006,Connecticut,CT,09,0.57,https://www.fns.usda.gov/snap/qc/pai,
2006,Delaware,DE,10,0.574,https://www.fns.usda.gov/snap/qc/pai,
2006,District of Columbia,DC,11,0.696,https://www.fns.usda.gov/snap/qc/pai,
2006,Florida,FL,12,0.404,https://www.fns.usda.gov/snap/qc/pai,
2006,Georgia,GA,13,0.536,https://www.fns.usda.gov/snap/qc/pai,
2006,Hawaii,HI,15,0.561,https://www.fns.usda.gov/snap/qc/pai,
2006,Idaho,ID,16,0.357,https://www.fns.usda.gov/snap/qc/pai,
2006,Illinois,IL,17,0.606,https://www.fns.usda.gov/snap/qc/pai,
2006,Indiana,IN,18,0.567,https://www.fns.usda.gov/snap/qc/pai,
2006,Iowa,IA,19,0.529,https://www.fns.usda.gov/snap/qc/pai,
2006,Kansas,KS,20,0.409,https://www.fns.usda.gov/snap/qc/pai,
2006,Kentucky,KY,21,0.657,https://www.fns.usda.gov/snap/qc/pai,
2006,Louisiana,LA,22,0.645,https://www.fns.usda.gov/snap/qc/pai,
2006,Maine,ME,23,0.742,https://www.fns.usda.gov/snap/qc/pai,
2006,Maryland,MD,24,0.537,https://www.fns.usda.gov/snap/qc/pai,
2006,Massachusetts,MA,25,0.536,https://www.fns.usda.gov/snap/qc/pai,
2006,Michigan,MI,26,0.675,https://www.fns.usda.gov/snap/qc/pai,
2006,Minnesota,MN,27,0.409,https://www.fns.usda.gov/snap/qc/pai,
2006,Mississippi,MS,28,0.525,https://www.fns.usda.gov/snap/qc/pai,
2006,Missouri,MO,29,0.71,https://www.fns.usda.gov/snap/qc/pai,
2006,Montana,MT,30,0.488,https://www.fns.usda.gov/snap/qc/pai,
2006,Nebraska,NE,31,0.443,https://www.fns.usda.gov/snap/qc/pai,
2006,Nevada,NV,32,0.337,https://www.fns.usda.gov/snap/qc/pai,
2006,New Hampshire,NH,33,0.425,https://www.fns.usda.gov/snap/qc/pai,
2006,New Jersey,NJ,34,0.41,https://www.fns.usda.gov/snap/qc/pai,
2006,New Mexico,NM,35,0.528,https://www.fns.usda.gov/snap/qc/pai,
2006,New York,NY,36,0.526,https://www.fns.usda.gov/snap/qc/pai,
2006,North Carolina,NC,37,0.513,https://www.fns.usda.gov/snap/qc/pai,
2006,North Dakota,ND,38,0.473,https://www.fns.usda.gov/snap/qc/pai,
2006,Ohio,OH,39,0.557,https://www.fns.usda.gov/snap/qc/pai,
2006,Oklahoma,OK,40,0.571,https://www.fns.usda.gov/snap/qc/pai,
2006,Oregon,OR,41,0.679,https://www.fns.usda.gov/snap/qc/pai,
2006,Pennsylvania,PA,42,0.574,https://www.fns.usda.gov/snap/qc/pai,
2006,Rhode Island,RI,44,0.472,https://www.fns.usda.gov/snap/qc/pai,
2006,South Carolina,SC,45,0.617,https://www.fns.usda.gov/snap/qc/pai,
2006,South Dakota,SD,46,0.497,https://www.fns.usda.gov/snap/qc/pai,
2006,Tennessee,TN,47,0.693,https://www.fns.usda.gov/snap/qc/pai,
2006,Texas,TX,48,0.491,https://www.fns.usda.gov/snap/qc/pai,
2006,Utah,UT,49,0.351,https://www.fns.usda.gov/snap/qc/pai,
2006,Vermont,VT,50,0.57,https://www.fns.usda.gov/snap/qc/pai,
2006,Virginia,VA,51,0.533,https://www.fns.usda.gov/snap/qc/pai,
2006,Washington,WA,53,0.556,https://www.fns.usda.gov/snap/qc/pai,
2006,West Virginia,WV,54,0.646,https://www.fns.usda.gov/snap/qc/pai,
2006,Wisconsin,WI,55,0.474,https://www.fns.usda.gov/snap/qc/pai,
2006,Wyoming,WY,56,0.343,https://www.fns.usda.gov/snap/qc/pai,
2007,Alabama,AL,01,0.553,https://www.fns.usda.gov/snap/qc/pai,
2007,Alaska,AK,02,0.632,https://www.fns.usda.gov/snap/qc/pai,
2007,Arizona,AZ,04,0.479,https://www.fns.usda.gov/snap/qc/pai,
2007,Arkansas,AR,05,0.583,https://www.fns.usda.gov/snap/qc/pai,
2007,California,CA,06,0.355,https://www.fns.usda.gov/snap/qc/pai,
2007,Colorado,CO,08,0.334,https://www.fns.usda.gov/snap/qc/pai,
2007,Connecticut,CT,09,0.595,https://www.fns.usda.gov/snap/qc/pai,
2007,Delaware,DE,10,0.571,https://www.fns.usda.gov/snap/qc/pai,
2007,District of Columbia,DC,11,0.749,https://www.fns.usda.gov/snap/qc/pai,
2007,Florida,FL,12,0.424,https://www.fns.usda.gov/snap/qc/pai,
2007,Georgia,GA,13,0.547,https://www.fns.usda.gov/snap/qc/pai,
2007,Hawaii,HI,15,0.684,https://www.fns.usda.gov/snap/qc/pai,
2007,Idaho,ID,16,0.356,https://www.fns.usda.gov/snap/qc/pai,
2007,Illinois,IL,17,0.635,https://www.fns.usda.gov/snap/qc/pai,
2007,Indiana,IN,18,0.587,https://www.fns.usda.gov/snap/qc/pai,
2007,Iowa,IA,19,0.57,https://www.fns.usda.gov/snap/qc/pai,
2007,Kansas,KS,20,0.447,https://www.fns.usda.gov/snap/qc/pai,
2007,Kentucky,KY,21,0.67,https://www.fns.usda.gov/snap/qc/pai,
2007,Louisiana,LA,22,0.653,https://www.fns.usda.gov/snap/qc/pai,
2007,Maine,ME,23,0.782,https://www.fns.usda.gov/snap/qc/pai,
2007,Maryland,MD,24,0.539,https://www.fns.usda.gov/snap/qc/pai,
2007,Massachusetts,MA,25,0.585,https://www.fns.usda.gov/snap/qc/pai,
2007,Michigan,MI,26,0.68,https://www.fns.usda.gov/snap/qc/pai,
2007,Minnesota,MN,27,0.439,https://www.fns.usda.gov/snap/qc/pai,
2007,Mississippi,MS,28,0.565,https://www.fns.usda.gov/snap/qc/pai,
2007,Missouri,MO,29,0.832,https://www.fns.usda.gov/snap/qc/pai,
2007,Montana,MT,30,0.456,https://www.fns.usda.gov/snap/qc/pai,
2007,Nebraska,NE,31,0.449,https://www.fns.usda.gov/snap/qc/pai,
2007,Nevada,NV,32,0.354,https://www.fns.usda.gov/snap/qc/pai,
2007,New Hampshire,NH,33,0.479,https://www.fns.usda.gov/snap/qc/pai,
2007,New Jersey,NJ,34,0.433,https://www.fns.usda.gov/snap/qc/pai,
2007,New Mexico,NM,35,0.516,https://www.fns.usda.gov/snap/qc/pai,
2007,New York,NY,36,0.545,https://www.fns.usda.gov/snap/qc/pai,
2007,North Carolina,NC,37,0.525,https://www.fns.usda.gov/snap/qc/pai,
2007,North Dakota,ND,38,0.508,https://www.fns.usda.gov/snap/qc/pai,
2007,Ohio,OH,39,0.565,https://www.fns.usda.gov/snap/qc/pai,
2007,Oklahoma,OK,40,0.579,https://www.fns.usda.gov/snap/qc/pai,
2007,Oregon,OR,41,0.687,https://www.fns.usda.gov/snap/qc/pai,
2007,Pennsylvania,PA,42,0.616,https://www.fns.usda.gov/snap/qc/pai,
2007,Rhode Island,RI,44,0.493,https://www.fns.usda.gov/snap/qc/pai,
2007,South Carolina,SC,45,0.641,https://www.fns.usda.gov/snap/qc/pai,
2007,South Dakota,SD,46,0.483,https://www.fns.usda.gov/snap/qc/pai,
2007,Tennessee,TN,47,0.7,https://www.fns.usda.gov/snap/qc/pai,
2007,Texas,TX,48,0.478,https://www.fns.usda.gov/snap/qc/pai,
2007,Utah,UT,49,0.349,https://www.fns.usda.gov/snap/qc/pai,
2007,Vermont,VT,50,0.625,https://www.fns.usda.gov/snap/qc/pai,
2007,Virginia,VA,51,0.533,https://www.fns.usda.gov/snap/qc/pai,
2007,Washington,WA,53,0.566,https://www.fns.usda.gov/snap/qc/pai,
2007,West Virginia,WV,54,0.678,https://www.fns.usda.gov/snap/qc/pai,
2007,Wisconsin,WI,55,0.488,https://www.fns.usda.gov/snap/qc/pai,
2007,Wyoming,WY,56,0.376,https://www.fns.usda.gov/snap/qc/pai,
2008,Alabama,AL,01,0.616,https://www.fns.usda.gov/snap/qc/pai,
2008,Alaska,AK,02,0.729,https://www.fns.usda.gov/snap/qc/pai,
2008,Arizona,AZ,04,0.537,https://www.fns.usda.gov/snap/qc/pai,
2008,Arkansas,AR,05,0.581,https://www.fns.usda.gov/snap/qc/pai,
2008,California,CA,06,0.371,https://www.fns.usda.gov/snap/qc/pai,
2008,Colorado,CO,08,0.351,https://www.fns.usda.gov/snap/qc/pai,
2008,Connecticut,CT,09,0.569,https://www.fns.usda.gov/snap/qc/pai,
2008,Delaware,DE,10,0.67,https://www.fns.usda.gov/snap/qc/pai,
2008,District of Columbia,DC,11,0.796,https://www.fns.usda.gov/snap/qc/pai,
2008,Florida,FL,12,0.482,https://www.fns.usda.gov/snap/qc/pai,
2008,Georgia,GA,13,0.584,https://www.fns.usda.gov/snap/qc/pai,
2008,Hawaii,HI,15,0.655,https://www.fns.usda.gov/snap/qc/pai,
2008,Idaho,ID,16,0.403,https://www.fns.usda.gov/snap/qc/pai,
2008,Illinois,IL,17,0.655,https://www.fns.usda.gov/snap/qc/pai,
2008,Indiana,IN,18,0.585,https://www.fns.usda.gov/snap/qc/pai,
2008,Iowa,IA,19,0.584,https://www.fns.usda.gov/snap/qc/pai,
2008,Kansas,KS,20,0.442,https://www.fns.usda.gov/snap/qc/pai,
2008,Kentucky,KY,21,0.694,https://www.fns.usda.gov/snap/qc/pai,
2008,Louisiana,LA,22,0.712,https://www.fns.usda.gov/snap/qc/pai,
2008,Maine,ME,23,0.833,https://www.fns.usda.gov/snap/qc/pai,
2008,Maryland,MD,24,0.639,https://www.fns.usda.gov/snap/qc/pai,
2008,Massachusetts,MA,25,0.654,https://www.fns.usda.gov/snap/qc/pai,
2008,Michigan,MI,26,0.71,https://www.fns.usda.gov/snap/qc/pai,
2008,Minnesota,MN,27,0.45,https://www.fns.usda.gov/snap/qc/pai,
2008,Mississippi,MS,28,0.58,https://www.fns.usda.gov/snap/qc/pai,
2008,Missouri,MO,29,0.9,https://www.fns.usda.gov/snap/qc/pai,
2008,Montana,MT,30,0.467,https://www.fns.usda.gov/snap/qc/pai,
2008,Nebraska,NE,31,0.468,https://www.fns.usda.gov/snap/qc/pai,
2008,Nevada,NV,32,0.39,https://www.fns.usda.gov/snap/qc/pai,
2008,New Hampshire,NH,33,0.508,https://www.fns.usda.gov/snap/qc/pai,
2008,New Jersey,NJ,34,0.457,https://www.fns.usda.gov/snap/qc/pai,
2008,New Mexico,NM,35,0.557,https://www.fns.usda.gov/snap/qc/pai,
2008,New York,NY,36,0.609,https://www.fns.usda.gov/snap/qc/pai,
2008,North Carolina,NC,37,0.562,https://www.fns.usda.gov/snap/qc/pai,
2008,North Dakota,ND,38,0.51,https://www.fns.usda.gov/snap/qc/pai,
2008,Ohio,OH,39,0.609,https://www.fns.usda.gov/snap/qc/pai,
2008,Oklahoma,OK,40,0.595,https://www.fns.usda.gov/snap/qc/pai,
2008,Oregon,OR,41,0.735,https://www.fns.usda.gov/snap/qc/pai,
2008,Pennsylvania,PA,42,0.63,https://www.fns.usda.gov/snap/qc/pai,
2008,Rhode Island,RI,44,0.586,https://www.fns.usda.gov/snap/qc/pai,
2008,South Carolina,SC,45,0.672,https://www.fns.usda.gov/snap/qc/pai,
2008,South Dakota,SD,46,0.551,https://www.fns.usda.gov/snap/qc/pai,
2008,Tennessee,TN,47,0.747,https://www.fns.usda.gov/snap/qc/pai,
2008,Texas,TX,48,0.526,https://www.fns.usda.gov/snap/qc/pai,
2008,Utah,UT,49,0.389,https://www.fns.usda.gov/snap/qc/pai,
2008,Vermont,VT,50,0.679,https://www.fns.usda.gov/snap/qc/pai,
2008,Virginia,VA,51,0.556,https://www.fns.usda.gov/snap/qc/pai,
2008,Washington,WA,53,0.628,https://www.fns.usda.gov/snap/qc/pai,
2008,West Virginia,WV,54,0.718,https://www.fns.usda.gov/snap/qc/pai,
2008,Wisconsin,WI,55,0.586,https://www.fns.usda.gov/snap/qc/pai,
2008,Wyoming,WY,56,0.363,https://www.fns.usda.gov/snap/qc/pai,
2009,Alabama,AL,01,0.681,https://www.fns.usda.gov/snap/qc/pai,
2009,Alaska,AK,02,0.809,https://www.fns.usda.gov/snap/qc/pai,
2009,Arizona,AZ,04,0.639,https://www.fns.usda.gov/snap/qc/pai,
2009,Arkansas,AR,05,0.615,https://www.fns.usda.gov/snap/qc/pai,
2009,California,CA,06,0.428,https://www.fns.usda.gov/snap/qc/pai,
2009,Colorado,CO,08,0.418,https://www.fns.usda.gov/snap/qc/pai,
2009,Connecticut,CT,09,0.681,https://www.fns.usda.gov/snap/qc/pai,
2009,Delaware,DE,10,0.766,https://www.fns.usda.gov/snap/qc/pai,
2009,District of Columbia,DC,11,0.87,https://www.fns.usda.gov/snap/qc/pai,
2009,Florida,FL,12,0.587,https://www.fns.usda.gov/snap/qc/pai,
2009,Georgia,GA,13,0.665,https://www.fns.usda.gov/snap/qc/pai,
2009,Hawaii,HI,15,0.702,https://www.fns.usda.gov/snap/qc/pai,
2009,Idaho,ID,16,0.501,https://www.fns.usda.gov/snap/qc/pai,
2009,Illinois,IL,17,0.688,https://www.fns.usda.gov/snap/qc/pai,
2009,Indiana,IN,18,0.628,https://www.fns.usda.gov/snap/qc/pai,
2009,Iowa,IA,19,0.662,https://www.fns.usda.gov/snap/qc/pai,
2009,Kansas,KS,20,0.478,https://www.fns.usda.gov/snap/qc/pai,
2009,Kentucky,KY,21,0.732,https://www.fns.usda.gov/snap/qc/pai,
2009,Louisiana,LA,22,0.754,https://www.fns.usda.gov/snap/qc/pai,
2009,Maine,ME,23,0.963,https://www.fns.usda.gov/snap/qc/pai,
2009,Maryland,MD,24,0.723,https://www.fns.usda.gov/snap/qc/pai,
2009,Massachusetts,MA,25,0.776,https://www.fns.usda.gov/snap/qc/pai,
2009,Michigan,MI,26,0.764,https://www.fns.usda.gov/snap/qc/pai,
2009,Minnesota,MN,27,0.496,https://www.fns.usda.gov/snap/qc/pai,
2009,Mississippi,MS,28,0.659,https://www.fns.usda.gov/snap/qc/pai,
2009,Missouri,MO,29,0.746,https://www.fns.usda.gov/snap/qc/pai,
2009,Montana,MT,30,0.522,https://www.fns.usda.gov/snap/qc/pai,
2009,Nebraska,NE,31,0.475,https://www.fns.usda.gov/snap/qc/pai,
2009,Nevada,NV,32,0.502,https://www.fns.usda.gov/snap/qc/pai,
2009,New Hampshire,NH,33,0.614,https://www.fns.usda.gov/snap/qc/pai,
2009,New Jersey,NJ,34,0.494,https://www.fns.usda.gov/snap/qc/pai,
2009,New Mexico,NM,35,0.674,https://www.fns.usda.gov/snap/qc/pai,
2009,New York,NY,36,0.706,https://www.fns.usda.gov/snap/qc/pai,
2009,North Carolina,NC,37,0.62,https://www.fns.usda.gov/snap/qc/pai,
2009,North Dakota,ND,38,0.611,https://www.fns.usda.gov/snap/qc/pai,
2009,Ohio,OH,39,0.653,https://www.fns.usda.gov/snap/qc/pai,
2009,Oklahoma,OK,40,0.678,https://www.fns.usda.gov/snap/qc/pai,
2009,Oregon,OR,41,0.873,https://www.fns.usda.gov/snap/qc/pai,
